"method.set"	"coverage.set"	"smaller.set"	"bigger.set"	"truemean.set"	"bootmean.set"	"n.set"	"B.set"	"round.set"	"difference.set"	"length.set"	"distribution.set"
2	0.41	0	0.04	9.888	9.3836788165424	50	10	100	0.504321183457598	-2.93803390012319	"normal"
3	0.45	0	0	9.888	9.32355594744782	50	10	100	0.564444052552178	-2.34804042133719	"normal"
1	0.44	0	0.02	9.888	9.52868378655942	50	10	100	0.359316213440584	-2.53741243598662	"normal"
2	0.42	0	0.04	9.888	9.43600976506724	50	10	100	0.45199023493276	-3.81494802869209	"normal"
3	0.46	0	0	9.888	9.9022891212065	50	10	100	-0.0142891212065024	-3.46358493989382	"normal"
1	0.45	0	0.02	9.888	9.33195021419545	50	10	100	0.556049785804547	-2.61523566435208	"normal"
2	0.43	0	0.04	9.888	9.12792027290264	50	10	100	0.760079727097361	-3.58015740208272	"normal"
3	0.47	0	0	9.888	9.63357626347967	50	10	100	0.254423736520327	-3.17161704795518	"normal"
1	0.46	0	0.02	9.888	9.16426637055278	50	10	100	0.723733629447215	-2.36414320240959	"normal"
2	0.44	0	0.04	9.888	8.66044025539099	50	10	100	1.22755974460901	-2.69285697631806	"normal"
3	0.48	0	0	9.888	9.51539236412436	50	10	100	0.372607635875639	-1.38383638549706	"normal"
1	0.47	0	0.02	9.888	9.26464233643166	50	10	100	0.623357663568337	-3.11677237460563	"normal"
2	0.45	0	0.04	9.888	9.85671231512252	50	10	100	0.0312876848774764	-3.21444160674473	"normal"
3	0.49	0	0	9.888	9.43981887306796	50	10	100	0.448181126932036	-2.46657908211926	"normal"
1	0.48	0	0.02	9.888	9.19581556364021	50	10	100	0.69218443635979	-3.3496411717672	"normal"
2	0.46	0	0.04	9.888	9.31915435214154	50	10	100	0.568845647858458	-1.56884530348579	"normal"
3	0.5	0	0	9.888	9.61589896370027	50	10	100	0.27210103629973	-1.27541306838392	"normal"
1	0.49	0	0.02	9.888	9.88175527593062	50	10	100	0.00624472406937748	-2.49794551786627	"normal"
2	0.47	0	0.04	9.888	9.4783687616884	50	10	100	0.409631238311601	-2.80220988744566	"normal"
3	0.51	0	0	9.888	9.60891091323511	50	10	100	0.279089086764891	-2.74091456748175	"normal"
1	0.5	0	0.02	9.888	8.94568500651307	50	10	100	0.942314993486926	-2.94846466886911	"normal"
2	0.48	0	0.04	9.888	9.88040564150005	50	10	100	0.00759435849995249	-2.36477248962309	"normal"
3	0.52	0	0	9.888	9.12006242045815	50	10	100	0.767937579541854	-3.70988051902114	"normal"
1	0.51	0	0.02	9.888	9.01825884584165	50	10	100	0.869741154158355	-2.70865316766008	"normal"
2	0.49	0	0.04	9.888	9.27793772007772	50	10	100	0.610062279922278	-2.41146077209651	"normal"
3	0.53	0	0	9.888	9.35354307473899	50	10	100	0.534456925261006	-4.08012231619792	"normal"
1	0.52	0	0.02	9.888	9.98063632809084	50	10	100	-0.0926363280908369	-3.70751093684108	"normal"
2	0.5	0	0.04	9.888	9.41627401839277	50	10	100	0.471725981607227	-3.76519782200496	"normal"
3	0.54	0	0	9.888	8.99235360786717	50	10	100	0.895646392132825	-2.93262599120882	"normal"
1	0.53	0	0.02	9.888	9.55520600226823	50	10	100	0.33279399773177	-2.04408731372169	"normal"
2	0.51	0	0.04	9.888	9.2054630792014	50	10	100	0.682536920798597	-2.03238475499022	"normal"
3	0.55	0	0	9.888	9.26525326320456	50	10	100	0.622746736795436	-2.99930615537254	"normal"
1	0.54	0	0.02	9.888	9.1104458313255	50	10	100	0.777554168674497	-3.59829554649829	"normal"
2	0.52	0	0.04	9.888	9.53417444536174	50	10	100	0.353825554638259	-3.37123567978676	"normal"
3	0.56	0	0	9.888	9.70864157801122	50	10	100	0.17935842198878	-4.24470764692207	"normal"
1	0.55	0	0.02	9.888	9.51047417107355	50	10	100	0.377525828926448	-2.73769430883313	"normal"
2	0.53	0	0.04	9.888	9.7858802507416	50	10	100	0.102119749258396	-1.94630191033547	"normal"
3	0.57	0	0	9.888	9.29169196365449	50	10	100	0.596308036345512	-3.46608088743977	"normal"
1	0.56	0	0.02	9.888	9.97327943803032	50	10	100	-0.0852794380303177	-2.71804096682144	"normal"
